,eta,max_depth,min_child_weight,subsample,colsample_bytree,optimal_trees,min_error
123,0.1,5,3,0.988909298,0.243749391,170,0.286545229
113,0.05,5,1,0.988909298,0.243749391,346,0.287962813
120,0.1,3,3,0.988909298,0.243749391,194,0.289122879
128,0.05,3,5,0.988909298,0.243749391,392,0.289186271
132,0.1,5,5,0.988909298,0.243749391,154,0.289447414
122,0.05,5,3,0.988909298,0.243749391,286,0.290220486
134,0.05,7,5,0.988909298,0.243749391,301,0.290542901
114,0.1,5,1,0.988909298,0.243749391,121,0.291253409
140,0.05,5,1,0.397745453,0.243749391,294,0.291379945
159,0.1,5,5,0.397745453,0.243749391,136,0.291703233
147,0.1,3,3,0.397745453,0.243749391,186,0.291833056
111,0.1,3,1,0.988909298,0.243749391,192,0.292026854
150,0.1,5,3,0.397745453,0.243749391,122,0.292281381
152,0.05,7,3,0.397745453,0.243749391,247,0.292799859
119,0.05,3,3,0.988909298,0.243749391,302,0.292929332
141,0.1,5,1,0.397745453,0.243749391,128,0.293512306
137,0.05,3,1,0.397745453,0.243749391,302,0.293576423
129,0.1,3,5,0.988909298,0.243749391,139,0.293898155
162,0.1,7,5,0.397745453,0.243749391,159,0.294025897
156,0.1,3,5,0.397745453,0.243749391,148,0.294027145
110,0.05,3,1,0.988909298,0.243749391,292,0.294093577
144,0.1,7,1,0.397745453,0.243749391,141,0.294284669
153,0.1,7,3,0.397745453,0.243749391,110,0.294286209
117,0.1,7,1,0.988909298,0.243749391,110,0.29486529
161,0.05,7,5,0.397745453,0.243749391,200,0.294865623
149,0.05,5,3,0.397745453,0.243749391,227,0.294929332
143,0.05,7,1,0.397745453,0.243749391,228,0.294929332
131,0.05,5,5,0.988909298,0.243749391,215,0.295187645
135,0.1,7,5,0.988909298,0.243749391,109,0.295254908
138,0.1,3,1,0.397745453,0.243749391,138,0.295638859
126,0.1,7,3,0.988909298,0.243749391,136,0.295769289
146,0.05,3,3,0.397745453,0.243749391,270,0.296735675
125,0.05,7,3,0.988909298,0.243749391,192,0.297249974
158,0.05,5,5,0.397745453,0.243749391,178,0.297510102
116,0.05,7,1,0.988909298,0.243749391,166,0.297832017
155,0.05,3,5,0.397745453,0.243749391,201,0.299703608
12,0.1,3,3,0.988909298,0.115697779,298,0.300863776
6,0.1,5,1,0.988909298,0.115697779,246,0.301443797
21,0.1,3,5,0.988909298,0.115697779,293,0.301703942
24,0.1,5,5,0.988909298,0.115697779,261,0.301959885
8,0.05,7,1,0.988909298,0.115697779,453,0.303186539
27,0.1,7,5,0.988909298,0.115697779,242,0.303445002
33,0.1,5,1,0.397745453,0.115697779,241,0.303509936
29,0.05,3,1,0.397745453,0.115697779,445,0.303960259
42,0.1,5,3,0.397745453,0.115697779,239,0.306157178
9,0.1,7,1,0.988909298,0.115697779,200,0.306410932
14,0.05,5,3,0.988909298,0.115697779,393,0.306541571
26,0.05,7,5,0.988909298,0.115697779,412,0.306605211
39,0.1,3,3,0.397745453,0.115697779,199,0.306668979
23,0.05,5,5,0.988909298,0.115697779,418,0.306669853
30,0.1,3,1,0.397745453,0.115697779,183,0.306865539
45,0.1,7,3,0.397745453,0.115697779,236,0.307058824
15,0.1,5,3,0.988909298,0.115697779,185,0.307636322
38,0.05,3,3,0.397745453,0.115697779,393,0.30763678
54,0.1,7,5,0.397745453,0.115697779,209,0.308411888
44,0.05,7,3,0.397745453,0.115697779,330,0.308927668
11,0.05,3,3,0.988909298,0.115697779,344,0.309766727
41,0.05,5,3,0.397745453,0.115697779,367,0.309768292
18,0.1,7,3,0.988909298,0.115697779,166,0.310604064
36,0.1,7,1,0.397745453,0.115697779,171,0.31086346
32,0.05,5,1,0.397745453,0.115697779,247,0.313830438
108,0.1,7,5,0.397745453,0.069748679,382,0.313895619
53,0.05,7,5,0.397745453,0.115697779,233,0.314478677
48,0.1,3,5,0.397745453,0.115697779,182,0.314989896
66,0.1,3,3,0.988909298,0.069748679,422,0.315252123
72,0.1,7,3,0.988909298,0.069748679,356,0.316023735
47,0.05,3,5,0.397745453,0.115697779,271,0.316025568
20,0.05,3,5,0.988909298,0.115697779,280,0.31614969
51,0.1,5,5,0.397745453,0.115697779,115,0.316280011
17,0.05,7,3,0.988909298,0.115697779,249,0.316342239
99,0.1,7,3,0.397745453,0.069748679,299,0.318345776
87,0.1,5,1,0.397745453,0.069748679,261,0.320537634
5,0.05,5,1,0.988909298,0.115697779,192,0.320989913
115,0.01,7,1,0.988909298,0.243749391,216,0.321894595
69,0.1,5,3,0.988909298,0.069748679,254,0.321959514
160,0.01,7,5,0.397745453,0.243749391,220,0.322216135
57,0.1,3,1,0.988909298,0.069748679,291,0.322476488
102,0.1,3,5,0.397745453,0.069748679,232,0.324602234
90,0.1,7,1,0.397745453,0.069748679,190,0.3248607
84,0.1,3,1,0.397745453,0.069748679,232,0.32615356
65,0.05,3,3,0.988909298,0.069748679,378,0.327246771
142,0.01,7,1,0.397745453,0.243749391,146,0.328087339
124,0.01,7,3,0.988909298,0.243749391,146,0.328733249
63,0.1,7,1,0.988909298,0.069748679,205,0.330086466
139,0.01,5,1,0.397745453,0.243749391,157,0.330151938
151,0.01,7,3,0.397745453,0.243749391,93,0.33337493
154,0.01,3,5,0.397745453,0.243749391,233,0.333632104
56,0.05,3,1,0.988909298,0.069748679,299,0.334217204
96,0.1,5,3,0.397745453,0.069748679,135,0.335634117
130,0.01,5,5,0.988909298,0.243749391,64,0.33944093
157,0.01,5,5,0.397745453,0.243749391,51,0.339633078
81,0.1,7,5,0.988909298,0.069748679,104,0.339954771
112,0.01,5,1,0.988909298,0.243749391,36,0.343569009
133,0.01,7,5,0.988909298,0.243749391,7,0.345310318
118,0.01,3,3,0.988909298,0.243749391,77,0.346019996
121,0.01,5,3,0.988909298,0.243749391,5,0.347050935
127,0.01,3,5,0.988909298,0.243749391,28,0.348150567
109,0.01,3,1,0.988909298,0.243749391,46,0.350405802
145,0.01,3,3,0.397745453,0.243749391,16,0.351694127
148,0.01,5,3,0.397745453,0.243749391,3,0.352274646
136,0.01,3,1,0.397745453,0.243749391,3,0.353828403
3,0.1,3,1,0.988909298,0.115697779,2,0.366988072
46,0.01,3,5,0.397745453,0.115697779,1,0.373692261
10,0.01,3,3,0.988909298,0.115697779,2,0.380071242
35,0.05,7,1,0.397745453,0.115697779,1,0.380597991
25,0.01,7,5,0.988909298,0.115697779,3,0.380659543
37,0.01,3,3,0.397745453,0.115697779,3,0.380919979
49,0.01,5,5,0.397745453,0.115697779,2,0.382143292
4,0.01,5,1,0.988909298,0.115697779,2,0.382853591
50,0.05,5,5,0.397745453,0.115697779,2,0.383308781
28,0.01,3,1,0.397745453,0.115697779,2,0.385818714
19,0.01,3,5,0.988909298,0.115697779,3,0.386020001
2,0.05,3,1,0.988909298,0.115697779,2,0.386595902
34,0.01,7,1,0.397745453,0.115697779,2,0.3872384
7,0.01,7,1,0.988909298,0.115697779,3,0.387818006
40,0.01,5,3,0.397745453,0.115697779,11,0.387818881
43,0.01,7,3,0.397745453,0.115697779,5,0.388465868
31,0.01,5,1,0.397745453,0.115697779,6,0.390081355
78,0.1,5,5,0.988909298,0.069748679,2,0.390792698
1,0.01,3,1,0.988909298,0.115697779,3,0.390916537
73,0.01,3,5,0.988909298,0.069748679,2,0.390923603
13,0.01,5,3,0.988909298,0.115697779,2,0.392405101
75,0.1,3,5,0.988909298,0.069748679,2,0.392532263
16,0.01,7,3,0.988909298,0.115697779,6,0.393560689
22,0.01,5,5,0.988909298,0.115697779,2,0.394465423
93,0.1,3,3,0.397745453,0.069748679,2,0.395883442
105,0.1,5,5,0.397745453,0.069748679,1,0.396009639
60,0.1,5,1,0.988909298,0.069748679,2,0.396462833
52,0.01,7,5,0.397745453,0.115697779,2,0.396987288
94,0.01,5,3,0.397745453,0.069748679,2,0.397946248
59,0.05,5,1,0.988909298,0.069748679,2,0.39839969
70,0.01,7,3,0.988909298,0.069748679,2,0.3988466
77,0.05,5,5,0.988909298,0.069748679,1,0.399437735
95,0.05,5,3,0.397745453,0.069748679,1,0.401110491
55,0.01,3,1,0.988909298,0.069748679,2,0.402271916
88,0.01,7,1,0.397745453,0.069748679,2,0.402788336
104,0.05,5,5,0.397745453,0.069748679,2,0.402844523
86,0.05,5,1,0.397745453,0.069748679,2,0.403626713
64,0.01,3,3,0.988909298,0.069748679,2,0.403814012
80,0.05,7,5,0.988909298,0.069748679,2,0.404333928
62,0.05,7,1,0.988909298,0.069748679,3,0.405563944
61,0.01,7,1,0.988909298,0.069748679,2,0.405820499
106,0.01,7,5,0.397745453,0.069748679,1,0.406396529
91,0.01,3,3,0.397745453,0.069748679,2,0.406649019
58,0.01,5,1,0.988909298,0.069748679,3,0.407303217
83,0.05,3,1,0.397745453,0.069748679,1,0.407359484
107,0.05,7,5,0.397745453,0.069748679,2,0.408780758
97,0.01,7,3,0.397745453,0.069748679,2,0.409361649
74,0.05,3,5,0.988909298,0.069748679,3,0.409882692
68,0.05,5,3,0.988909298,0.069748679,2,0.410331857
103,0.01,5,5,0.397745453,0.069748679,3,0.410853511
82,0.01,3,1,0.397745453,0.069748679,2,0.411556988
67,0.01,5,3,0.988909298,0.069748679,2,0.411624544
71,0.05,7,3,0.988909298,0.069748679,2,0.41246613
101,0.05,3,5,0.397745453,0.069748679,2,0.412538712
100,0.01,3,5,0.397745453,0.069748679,2,0.412651433
92,0.05,3,3,0.397745453,0.069748679,4,0.412981755
89,0.05,7,1,0.397745453,0.069748679,2,0.413040037
98,0.05,7,3,0.397745453,0.069748679,15,0.413302053
76,0.01,5,5,0.988909298,0.069748679,2,0.41394451
85,0.01,5,1,0.397745453,0.069748679,1,0.416397491
79,0.01,7,5,0.988909298,0.069748679,2,0.418718537
